Company Name,Sanctions Program,Country,Risk Details
AL-AQSA FOUNDATION,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
AL-AQSA E.V.,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; <Head Office>."
STICHTING AL-AQSA,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
FORENINGEN AL-AQSA,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
AL-AQSA,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; a.k.a. 'ASBL'."
AQSSA SOCIETY YEMEN,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
AL-AQSA FOUNDATION,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
AL-AQSA FOUNDATION,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
AL-AQSA FOUNDATION,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
ALBANIAN NATIONAL ARMY,BALKANS,BALKANS,a.k.a. 'ANA'.
ARMY OF THE REPUBLIC OF ILIRIDA,BALKANS,BALKANS,a.k.a. 'ARI'.
BIO CORPORATION,BALKANS,BALKANS,
CETNIK RAVNAGORSKI POKRET,BALKANS,BALKANS,
FRONT FOR ALBANIAN NATIONAL UNITY,BALKANS,BALKANS,
"LIBERATION ARMY OF PRESEVO, MEDVEDJA, AND BUJANOVAC",BALKANS,BALKANS,
MANCO OIL COMPANY,BALKANS,BALKANS,
NATIONAL COMMITTEE FOR THE LIBERATION AND PROTECTION OF ALBANIAN LANDS,BALKANS,BALKANS,
NATIONAL LIBERATION ARMY,BALKANS,BALKANS,
NATIONAL MOVEMENT FOR THE LIBERATION OF KOSOVO,BALKANS,BALKANS,
"POLITICAL COUNCIL OF PRESEVO, MEDVEDJA, AND BUJANOVAC",BALKANS,BALKANS,
POPULAR MOVEMENT OF KOSOVO,BALKANS,BALKANS,
PUMA SECURITY COMPANY,BALKANS,BALKANS,
UNITED WA STATE ARMY,SDNTK,,
ASSOCIATION DE SECOURS PALESTINIENS,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; a.k.a. 'ASP'."
COMITE' DE BIENFAISANCE ET DE SECOURS AUX PALESTINIENS,SDGT,,"Website h-terre.org; Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; a.k.a. 'CBSP'; Linked To: HAMAS."
INTERPAL,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; Registered Charity No. 1040094."
PALESTINIAN ASSOCIATION IN AUSTRIA,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
SANABIL ASSOCIATION FOR RELIEF AND DEVELOPMENT,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
AL-AKHTAR TRUST INTERNATIONAL,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; and all other offices worldwide."
AL-BAKOUN ALA AL-AHD ORGANIZATION,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
DHAMAT HOUMET DAAWA SALAFIA,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
